Country,Cases
AR,0
AF,22890
AN,118
ANG,0
AL,1385
ALA,0
AND,852
UAE,40986
ARG,27373
ARM,15281
AS,0
AT,0
ACI,0
FSAL,0
AB,0
A,7294
AST,17064
AZ,9218
BU,85
BL,59819
BN,388
BF,892
BNG,81523
BUL,3191
BH,17269
BHA,103
BAH,2893
BNB,0
SB,0
BE,52520
BEL,20
BR,0
BOL,16929
BZ,828810
BB,96
BRN,141
BHU,62
BT,48
CAR,2044
CN,99595
SWZ,31063
CHI,160846
CHN,84228
IC,4684
CI,0
CM,8681
CNMA,980
DROC,728
ROC,4637
CK,0
CMB,45344
CMR,163
CV,697
CR,1612
CSI,0
CB,2233
CRC,0
CYI,0
NCY,980
CYP,980
CZR,9938
GR,187226
DJ,4441
DOM,18
DN,12299
DR,22008
ALG,10698
EC,45778
EGY,41303
ERT,41
DSBA,0
SP,243209
EST,1970
ETP,2915
FN,7073
FJ,18
FI,0
FR,193220
FRI,0
FSM,0
GB,3463
UK,294402
GRG,843
GRN,0
GHN,10856
GBT,0
GUN,4426
GMB,28
GUBS,1460
EQG,1306
GEC,3108
GRE,0
GUT,8982
GUAM,0
GY,159
HK,0
HIMI,0
HD,8132
CRT,2249
HAT,3941
HUG,4053
INDO,36406
IOM,0
IND,297535
IOT,0
BIOT,0
IRL,25250
IRAN,182525
IRAQ,17770
ICL,1807
ISR,18795
ITY,236305
JM,614
JSY,0
JRD,915
JP,17250
BYK,0
SG,0
KZK,13872
KNY,3305
KGYS,2166
CMBD,126
KIB,0
SKN,15
SK,12051
KSV,1326
KWT,34952
LAOS,19
LBN,1422
LIB,421
LBY,409
STL,19
LCT,82
SRL,1880
LSTO,4
LITU,1756
LXB,4055
LTV,1096
MC,0
SMT,0
MOCO,8610
MNC,99
MDV,11093
MDGC,1240
MAL,2003
MX,139196
MRS,0
MCD,3701
MALI,1752
MLTA,645
MYM,0
MON,324
MONG,197
NMI,0
MZM,509
MAU,1572
MAUS,337
MTRR,324
MLW,481
MALA,8402
NBI,31
NCL,0
NGR,978
NGRI,15181
NFI,0
NCG,1464
NIUE,0
NTH,48668
NRW,8620
NP,5062
NRU,0
NZ,1504
OM,21071
PAK,125933
PNM,19211
PI,0
PERU,214788
SPI,0
PLP,24787
PLU,0
PNG,8
POL,28577
PUR,0
NK,0
PTG,36180
PRG,1254
PLT,0
FP,0
QT,76588
RM,21404
RUS,510761
RWD,510
WS,9
SDA,119942
SCB,0
SUD,6879
SS,1670
SNG,4851
SB,0
SGP,39850
SGSS,843
SH,0
SI,0
SL,1103
ELS,3481
SM,694
SOM,0
SOMA,2513
SPM,0
ROS,12175
STP,639
SURI,187
SVK,1542
SVN,1490
SWD,49684
SZL,0
STM,0
SYC,11
SYR,164
TCI,0
CHAD,848
TOGO,525
TLD,3129
TJK,4902
TKM,0
ET,24
TG,0
TT,117
TNS,1093
TRK,175218
TVL,0
TWN,443
URT,509
UG,686
UKR,30415
USMO,0
URG,847
USA,2048986
UBB,0
UBT,4869
VT,0
SVG,27
VZL,2879
BVI,0
USVI,0
VET,333
VNU,0
WF,0
ASB,0
SMO,0
YM,632
SAF,61927
ZMB,1321
ZBB,0